Reitoria#REIT#null
Gabinete da Reitoria#GAB.REIT#1
Secretaria da Reitoria#SEC.REIT#1
Assessoria de Gestão#ASG.REIT#1
Assessoria de Projetos#ASP.REIT#1
Assessoria de Relações Públicas#ASRP.REIT#1
Vice-Reitoria#VREIT.REIT#1
Secretaria da Vice-Reitoria#SEC.VREIT#7
Secretaria Geral dos Conselhos#SECGC.REIT#1
Secretaria de Acessibilidade#SECAC.REIT#1
Secretaria de Cerimonial#SECC.REIT#1
Diretoria de Comunicação#DCOMU.REIT#1
Secretaria da Diretoria de Comunicação#SEC.DCOMU#2
Seção de Comunicação Institucional#SCOMUINS.DCOMU#2
Seção de Comunicação Interinstitucional#SCOMUINT.DCOMU#2
Diretoria de Relações Internacionais#DRI.REIT#1
Secretaria da Diretoria de Relações Internacionais#SEC.DRI#1
Coordenadoria de Mobilidade e Administração#CMA.DRI#1
Seção de Línguas Estrangeiras#SLE.DRI#1
Diretoria de Relações Interinstitucionais#DRINT.REIT#1
Secretaria da Diretoria de Relações Interinstitucionais#SEC.DRINT#1
Coordenadoria de Celebração de Parcerias#CCP.DRINT#1
Procuradoria Jurídica#PJ.REIT#1
Seção de Apoio Jurídico#SAJ.PJ#1
Ouvidoria#OUV.REIT#1
Secretaria da Ouvidoria#SEC.OUV#1
Auditoria Interna#AUDIN. REIT#1
Secretaria da Auditoria Interna#SEC.AUDIN#1
Pró-Reitoria de Administração#PROAD.REIT#1
Secretaria da Pró-Reitoria de Administração#SEC.PROAD#29
Departamento de Patrimônio e Almoxarifado#DPA.PROAD#29
Departamento de Contabilidade e Finanças#DCF.PROAD#29
Departamento de Compras#DCOM.PROAD#29
Departamento de Gestão Orçamentária#DGO.PROAD#29
Seção de Apoio Jurídico#SAJ.PROAD#1
Seção de Concessão de Diárias e Passagens#SCDP.PROAD#1
Secretaria de Protocolo, Comunicação e Distribuição#SPCD.PROAD#1
Coordenadoria de Patrimônio#CPAT.DPA#1
Coordenadoria de Almoxarifado#CALM.DPA#1
Seção de Contabilidade#SCO.DCF#1
Seção de Execução Financeira#SEF.DCF#1
Coordenadoria de Planejamento e Aquisição#CPLA.DCOM#1
Coordenadoria de Licitação#CLI.DCOM#1
Seção de Acompanhamento e Controle Orçamentário#SACO.DGO#1
Seção de Planejamento e Análise Orçamentária#SPLO.DGO#1
Prefeitura#PREF.PROAD#1
Secretaria da Prefeitura#SEC.PREF#1
Secretaria de Meio Ambiente e Sustentabilidade#SMAS.PREF#1
Coordenadoria de Contratos#CC.PREF#4
Seção de Fiscalização e Gestão de Contratos#SFGC.CC#1
Seção de Acompanhamento de Contratos#SAC.CC#1
Departamento de Transporte#DTRAN.PREF#1
Departamento de Engenharia e Arquitetura#DEA.PREF#1
Secretaria de Assuntos Específicos#SAE.DEA#1
Coordenadoria de Manutenção#CM.DEA#1
Seção de Manutenção Predial#SMP.CM#1
Seção de Manutenção de Máquinas e Equipamentos#SMME.CM#1
Coordenadoria de Projetos#CP.DEA#1
Seção de Projetos#SPRO.CP#1
Seção de Compatibilização de Projetos#SCPRO.CP#1
Coordenadoria de Perícias e Orçamentos#CPO.DEA#1
Seção de Perícias e Avaliações#SPA.CPO#1
Seção de Orçamentos#SO.CPO#1
Pró-Reitoria de Planejamento#PROPLAN.REIT#1
Secretaria da Pró-Reitoria de Planejamento#SEC.PROPLAN#64
Departamento de Planejamento, Informações Institucionais e Captação de Recursos#DPLIC.PROPLAN#64
Coordenadoria de Informações e Avaliações Institucionais#CIAI.DPLIC#66
Seção de Documentação e Gerenciamento de Informações#SDGIN.CIAI#67
Seção de Monitoramento e Avaliação Institucional#SMAIN.CIAI#67
Coordenadoria de Planejamento#CPLA.DPLIC#66
Seção de Planejamento#SPLA.CPLA#68
Coordenadoria de Captação de Recursos#CCAR.DPLIC#66
Departamento de Governança, Processos e Estruturas Organizacionais#DGPEO.PROPLAN#64
Coordenadoria de Governança e Gestão de Riscos#CGGR.DGPEO#70
Seção de Gestão de Riscos#SGR.CGGR#74
Coordenadoria de Processos e Estruturas Organizacionais#CPEO.DGPEO#70
Seção de Processos Organizacionais#SPORG.CPEO#76
Pró-Reitoria de Gestão de Pessoas#PROGEPE#1
Secretaria da Pró-Reitoria de Gestão de Pessoas#SEC.PROGEPE#1
Assessoria de Legislação de Pessoal#ALP.PROGEPE#1
Departamento de Administração de Pessoas#DAP.PROGEPE#1
Coordenadoria de Acompanhamento e Movimentação de Pessoas#CAMP.DAP#1
Seção de Acompanhamento e Movimentação de Pessoas#SAMP.CAMP#1
Seção de Aposentadorias e Pensões#SAP.CAMP#1
Coordenadoria de Cadastro e Pagamento#CCP.DAP#1
Seção de Controle de Cadastro e Pagamento#SCCP.CCP#1
Seção de Registro Funcional#SRF.CCP#1
Departamento de Desempenho e Desenvolvimento de Pessoas#DDP.PROGEPE#1
Coordenadoria de Concursos e Desenvolvimento de Pessoas#CCDP.DDP#1
Seção de Avaliação de Desempenho#SAD.CCDP#1
Seção de Capacitação e Desenvolvimento#SCD.CCDP#1
Departamento de Qualidade de Vida#DQV.PROGEPE#1
Seção de Apoio Administrativo#SAAD.DQV#1
Seção Médica e Assistência à Saúde#SMAS.DQV#1
Seção de Segurança do Trabalho e Saúde Ocupacional#STSO.DQV#1
Seção de Qualidade de Vida e Responsabilidade Social#SQRS.DQV#1
Seção de Assistência Psicossocial#SAPS.DQV#1
Pró-Reitoria de Assistência Estudantil#PRAE#1
Secretaria da Pró-Reitoria de Assistência Estudantil#SEC.PRAE#1
Departamento de Gestão de Finanças e Infraestrutura#DGFI.PRAE#1
Coordenadoria de Apoio Administrativo e Financeiro#CAAF.DGFI#1
Seção de Pagamentos #SPA.CAAF#1
Seção de Logística e Infraestrutura#SLI.CAAF#1
Coordenadoria de Gestão Alimentar e Restaurante Universitário#CGAR.DGFI#1
Departamento de Políticas Estudantis e Ações Afirmativas#DPEA.PRAE#1
Coordenadoria de Atenção e Permanência Estudantil#CAPE.DPEA#1
Seção de Ingresso e Acompanhamento#SIA.CAPE#1
Seção de Monitoramento e Avaliação#SMA.CAPE#1
Seção de Promoção de Saúde#1 Esporte#1 Lazer e Cultura#SPSELC.CAPE#1
Coordenadoria de Gestão de Residência Universitária#CGRU.DPEA#1
Pró-Reitoria de Ensino e Graduação#PREG#1
Secretaria da Pró-Reitoria de Ensino e Graduação#SEC.PREG#1
Departamento de Práticas de Formação Inicial e Continuada#DPFIC.PREG#1
Coordenadoria de Estágio#CES.DFIC#1
Coordenadoria de Programas Acadêmicos#CPAC.DPFIC#1
Seção de Apoio Administrativo#SAA.CPAC#1
Coordenadoria de Aperfeiçoamento Docente#CAD.DPFIC#1
